iter	Passed	Remaining
825	1316	277
826	1317	275
827	1318	273
828	1319	272
829	1320	270
830	1321	268
831	1322	267
832	1323	265
833	1325	263
834	1327	262
835	1328	260
836	1329	258
837	1330	257
838	1331	255
839	1332	253
840	1333	252
841	1334	250
842	1335	248
843	1336	247
844	1337	245
845	1338	243
846	1340	242
847	1341	240
848	1343	238
849	1344	237
850	1345	235
851	1346	233
852	1347	232
853	1348	230
854	1349	228
855	1350	227
856	1351	225
857	1352	223
858	1354	222
859	1355	220
860	1357	219
861	1358	217
862	1359	215
863	1360	214
864	1362	212
865	1363	210
866	1364	209
867	1365	207
868	1366	206
869	1367	204
870	1368	202
871	1370	201
872	1371	199
873	1373	197
874	1374	196
875	1375	194
876	1376	193
877	1377	191
878	1378	189
879	1379	188
880	1380	186
881	1381	184
882	1383	183
883	1384	181
884	1385	180
885	1387	178
886	1388	176
887	1389	175
888	1390	173
889	1392	172
890	1393	170
891	1394	168
892	1395	167
893	1396	165
894	1397	163
895	1398	162
896	1399	160
897	1401	159
898	1402	157
899	1404	156
900	1405	154
901	1406	152
902	1407	151
903	1408	149
904	1409	148
905	1410	146
906	1411	144
907	1412	143
908	1413	141
909	1414	139
910	1416	138
911	1417	136
912	1418	135
913	1420	133
914	1421	132
915	1422	130
916	1423	128
917	1424	127
918	1425	125
919	1426	124
920	1427	122
921	1428	120
922	1429	119
923	1430	117
924	1432	116
925	1433	114
926	1434	113
927	1436	111
928	1437	109
929	1438	108
930	1439	106
931	1440	105
932	1441	103
933	1442	101
934	1443	100
935	1444	98
936	1445	97
937	1446	95
938	1448	94
939	1449	92
940	1450	90
941	1451	89
942	1452	87
943	1453	86
944	1454	84
945	1455	83
946	1456	81
947	1457	79
948	1458	78
949	1459	76
950	1461	75
951	1462	73
952	1464	72
953	1466	70
954	1467	69
955	1469	67
956	1470	66
957	1471	64
958	1472	62
959	1473	61
960	1474	59
961	1475	58
962	1477	56
963	1479	55
964	1481	53
965	1482	52
966	1483	50
967	1485	49
968	1486	47
969	1487	46
970	1489	44
971	1490	42
972	1492	41
973	1494	39
974	1495	38
975	1496	36
976	1498	35
977	1499	33
978	1500	32
979	1501	30
980	1503	29
981	1504	27
982	1505	26
983	1507	24
984	1508	22
985	1509	21
986	1510	19
987	1511	18
988	1512	16
989	1513	15
990	1515	13
991	1516	12
992	1517	10
993	1518	9
994	1519	7
995	1520	6
996	1522	4
997	1523	3
998	1525	1
999	1526	0
